"transcriptID","geneID","feature","id","fc","pval","qval"
"gene-PA3992",".","transcript","4091",98.8609139533159,0.000303231532765125,0.947188505654787
"gene-PA4804",".","transcript","4958",0.000356369580216834,0.000666143187755264,0.947188505654787
"gene-PA2690",".","transcript","2745",0.0578338961286673,0.00141926184772379,0.947188505654787
"gene-PA2832","tpm","transcript","2896",1786.56951929993,0.00234148344062823,0.947188505654787
"gene-PA0365",".","transcript","370",3.96465174125026e-07,0.0023906200842948,0.947188505654787
"gene-PA3059","pelF","transcript","3129",0.00168742487497436,0.00258384572987103,0.947188505654787
"gene-PA5428",".","transcript","5596",71620.9057916979,0.00266375664113694,0.947188505654787
"gene-PA0282","cysT","transcript","286",0.00240542433452868,0.00273602706960907,0.947188505654787
"gene-PA0553",".","transcript","560",0.0124463469031714,0.00313490437014963,0.947188505654787
"gene-PA1801","clpP","transcript","1845",17.4398122116364,0.00315480301985005,0.947188505654787
"gene-PA4341",".","transcript","4458",2.67662704773106e-09,0.00384197027094779,0.947188505654787
"gene-PA3886",".","transcript","3983",6.40432382766855,0.00396906591710144,0.947188505654787
"gene-PA0364",".","transcript","369",8.0468951713071e-06,0.00424030829145383,0.947188505654787
"gene-PA1720","pscG","transcript","1757",540294.021710723,0.00433095605799538,0.947188505654787
"gene-PA2841",".","transcript","2905",14.1744501276317,0.00449274279358414,0.947188505654787
"gene-PA3762",".","transcript","3858",2636.69144053137,0.00469770305361339,0.947188505654787
"gene-PA0906",".","transcript","928",46.0040729587033,0.00512693086328042,0.947188505654787
"gene-PA1570",".","transcript","1605",43.8066138663567,0.0051900949682373,0.947188505654787
"gene-PA1814",".","transcript","1859",47.6810221783466,0.00536585236108289,0.947188505654787
"gene-PA0792","prpD","transcript","807",4.76571710106905e-18,0.00560603785108338,0.947188505654787
"gene-PA1991",".","transcript","2036",8.02213885015107e-05,0.00595245208271189,0.947188505654787
"gene-PA3411",".","transcript","3496",3.18209810144405e-09,0.00616489406155951,0.947188505654787
"gene-PA2400","pvdJ","transcript","2454",309.175090963911,0.00629132795937759,0.947188505654787
"gene-PA5344","oxyR","transcript","5507",11.2779659139582,0.00632714601611828,0.947188505654787
"gene-PA2381",".","transcript","2430",557669.803142104,0.00641904492082535,0.947188505654787
"gene-PA4057","nrdR","transcript","4157",6.43205023846053,0.00668102353560629,0.947188505654787
"gene-PA1183","dctA","transcript","1211",56781823625388.1,0.00687113469728262,0.947188505654787
"gene-PA5083",".","transcript","5240",0.00132762963348792,0.00692173001113805,0.947188505654787
"gene-PA0542",".","transcript","549",378538.220322471,0.00708951615818387,0.947188505654787
"gene-PA2278","arsB","transcript","2325",0.000297179159784838,0.00786468591988332,0.947188505654787
"gene-PA5042","pilO","transcript","5199",89208.2192647632,0.00804505094077967,0.947188505654787
"gene-PA4528","pilD","transcript","4650",2452.30224238389,0.00821826901160272,0.947188505654787
"MSTRG.3383.1",".","transcript","4133",0.00365418308187413,0.0083855692000222,0.947188505654787
"gene-PA1555","ccoP2","transcript","1591",10902490227.9761,0.00873050678302556,0.947188505654787
"gene-PA4677",".","transcript","4813",0.0277662919232743,0.00873847347286216,0.947188505654787
"gene-PA1409","aphA","transcript","1439",0.000227335297602089,0.00922497030018399,0.947188505654787
"gene-PA0696",".","transcript","708",3.26137090050257,0.00929852162844891,0.947188505654787
"gene-PA2654",".","transcript","2710",2.61048437889402,0.00938150009980188,0.947188505654787
"gene-PA4083","cupB4","transcript","4181",0.0069746444204202,0.00967215639757724,0.947188505654787
"gene-PA4381",".","transcript","4499",4990550791.47062,0.00997282034715963,0.947188505654787
"gene-PA4095",".","transcript","4193",0.000143755741393046,0.0101326483548733,0.947188505654787
"gene-PA3089a",".","transcript","3161",311916.816307473,0.0102808253869192,0.947188505654787
